player,train_rows,val_rows,test_rows,status,model_path
Jordan Miller,0,0,0,failed,
Kobe Brown,0,0,0,failed,
Nicolas Batum,0,0,0,failed,
Ivica Zubac,0,0,0,failed,
Adou Thiero,0,0,0,failed,
Jarred Vanderbilt,0,0,0,failed,
Dalton Knecht,0,0,0,failed,
Deandre Ayton,0,0,0,failed,
Gabe Vincent,0,0,0,failed,
Bronny James,0,0,0,failed,
Christian Koloko,0,0,0,failed,
Jaxson Hayes,0,0,0,failed,
Jake LaRavia,0,0,0,failed,
Maxi Kleber,0,0,0,failed,
Austin Reaves,0,0,0,failed,
Nick Smith Jr.,0,0,0,failed,
LeBron James,0,0,0,failed,
Rui Hachimura,0,0,0,failed,
Chris Mañon,0,0,0,failed,
Marcus Smart,0,0,0,failed,
Luka Dončić,0,0,0,failed,
Simone Fontecchio,0,0,0,failed,
Terry Rozier,0,0,0,failed,
Nikola Jović,0,0,0,failed,
Kel'el Ware,0,0,0,failed,
Pelle Larsson,0,0,0,failed,
Jaime Jaquez Jr.,0,0,0,failed,
Dru Smith,0,0,0,failed,
Bam Adebayo,0,0,0,failed,
Tyler Herro,0,0,0,failed,
Myron Gardner,0,0,0,failed,
Keshad Johnson,0,0,0,failed,
Jahmir Young,0,0,0,failed,
Andrew Wiggins,0,0,0,failed,
Norman Powell,0,0,0,failed,
Kasparas Jakučionis,0,0,0,failed,
Davion Mitchell,0,0,0,failed,
Vladislav Goldin,0,0,0,failed,
Jericho Sims,0,0,0,failed,
Myles Turner,0,0,0,failed,
Gary Trent Jr.,0,0,0,failed,
Kevin Porter Jr.,0,0,0,failed,
Bobby Portis,0,0,0,failed,
Gary Harris,0,0,0,failed,
Taurean Prince,0,0,0,failed,
Ryan Rollins,0,0,0,failed,
Amir Coffey,0,0,0,failed,
Kyle Kuzma,0,0,0,failed,
Mark Sears,0,0,0,failed,
AJ Green,0,0,0,failed,
Alex Antetokounmpo,0,0,0,failed,
Giannis Antetokounmpo,0,0,0,failed,
Pete Nance,0,0,0,failed,
Thanasis Antetokounmpo,0,0,0,failed,
Andre Jackson Jr.,0,0,0,failed,
Cole Anthony,0,0,0,failed,
Donte DiVincenzo,0,0,0,failed,
Terrence Shannon Jr.,0,0,0,failed,
Jaden McDaniels,0,0,0,failed,
Rob Dillingham,0,0,0,failed,
Anthony Edwards,0,0,0,failed,
Joe Ingles,0,0,0,failed,
Bones Hyland,0,0,0,failed,
Johnny Juzang,0,0,0,failed,
Mike Conley,0,0,0,failed,
Naz Reid,0,0,0,failed,
Joan Beringer,0,0,0,failed,
Jaylen Clark,0,0,0,failed,
Enrique Freeman,0,0,0,failed,
Rudy Gobert,0,0,0,failed,
Julius Randle,0,0,0,failed,
Leonard Miller,0,0,0,failed,
Rocco Zikarsky,0,0,0,failed,
Ziaire Williams,0,0,0,failed,
Danny Wolf,0,0,0,failed,
Drake Powell,0,0,0,failed,
Haywood Highsmith,0,0,0,failed,
Egor Dëmin,0,0,0,failed,
E.J. Liddell,0,0,0,failed,
Tyson Etienne,0,0,0,failed,
Tyrese Martin,0,0,0,failed,
Terance Mann,0,0,0,failed,
Michael Porter Jr.,0,0,0,failed,
Day'Ron Sharpe,0,0,0,failed,
Noah Clowney,0,0,0,failed,
Jalen Wilson,0,0,0,failed,
Cam Thomas,0,0,0,failed,
Nic Claxton,0,0,0,failed,
Ben Saraf,0,0,0,failed,
Nolan Traore,0,0,0,failed,
Jordan Clarkson,0,0,0,failed,
Miles McBride,0,0,0,failed,
Josh Hart,0,0,0,failed,
Pacôme Dadiet,0,0,0,failed,
OG Anunoby,0,0,0,failed,
Kevin McCullar Jr.,0,0,0,failed,
Jalen Brunson,0,0,0,failed,
Tyler Kolek,0,0,0,failed,
Tosan Evbuomwan,0,0,0,failed,
Mitchell Robinson,0,0,0,failed,
Mikal Bridges,0,0,0,failed,
Guerschon Yabusele,0,0,0,failed,
Karl-Anthony Towns,0,0,0,failed,
Landry Shamet,0,0,0,failed,
Trey Jemison III,0,0,0,failed,
Mohamed Diawara,0,0,0,failed,
Ariel Hukporti,0,0,0,failed,
Tyrese Maxey,0,0,0,failed,
Andre Drummond,0,0,0,failed,
Quentin Grimes,0,0,0,failed,
Kyle Lowry,0,0,0,failed,
Paul George,0,0,0,failed,
Kelly Oubre Jr.,0,0,0,failed,
Justin Edwards,0,0,0,failed,
Trendon Watford,0,0,0,failed,
Jared McCain,0,0,0,failed,
Joel Embiid,0,0,0,failed,
Johni Broome,0,0,0,failed,
Eric Gordon,0,0,0,failed,
Dominick Barlow,0,0,0,failed,
Adem Bona,0,0,0,failed,
Jabari Walker,0,0,0,failed,
Hunter Sallis,0,0,0,failed,
VJ Edgecombe,0,0,0,failed,
Royce O'Neale,0,0,0,failed,
Ryan Dunn,0,0,0,failed,
Devin Booker,0,0,0,failed,
Nick Richards,0,0,0,failed,
Dillon Brooks,0,0,0,failed,
Jalen Green,0,0,0,failed,
Grayson Allen,0,0,0,failed,
Khaman Maluach,0,0,0,failed,
Oso Ighodaro,0,0,0,failed,
Collin Gillespie,0,0,0,failed,
Koby Brea,0,0,0,failed,
Mark Williams,0,0,0,failed,
Jamaree Bouyea,0,0,0,failed,
Isaiah Livers,0,0,0,failed,
Rasheer Fleming,0,0,0,failed,
Nigel Hayes-Davis,0,0,0,failed,
Jordan Goodwin,0,0,0,failed,
Damian Lillard,0,0,0,failed,
Scoot Henderson,0,0,0,failed,
Blake Wesley,0,0,0,failed,
Caleb Love,0,0,0,failed,
Matisse Thybulle,0,0,0,failed,
Jrue Holiday,0,0,0,failed,
Deni Avdija,0,0,0,failed,
Jerami Grant,0,0,0,failed,
Yang Hansen,0,0,0,failed,
Shaedon Sharpe,0,0,0,failed,
Javonte Cooke,0,0,0,failed,
Rayan Rupert,0,0,0,failed,
Donovan Clingan,0,0,0,failed,
Kris Murray,0,0,0,failed,
Duop Reath,0,0,0,failed,
Toumani Camara,0,0,0,failed,
Robert Williams III,0,0,0,failed,
Sidy Cissoko,0,0,0,failed,
Malik Monk,0,0,0,failed,
Nique Clifford,0,0,0,failed,
Doug McDermott,0,0,0,failed,
Zach LaVine,0,0,0,failed,
Precious Achiuwa,0,0,0,failed,
DeMar DeRozan,0,0,0,failed,
Domantas Sabonis,0,0,0,failed,
Keegan Murray,0,0,0,failed,
Dennis Schröder,0,0,0,failed,
Russell Westbrook,0,0,0,failed,
Drew Eubanks,0,0,0,failed,
Dario Šarić,0,0,0,failed,
Devin Carter,0,0,0,failed,
Keon Ellis,0,0,0,failed,
Isaiah Stevens,0,0,0,failed,
Daeqwon Plowden,0,0,0,failed,
Dylan Cardwell,0,0,0,failed,
Maxime Raynaud,0,0,0,failed,
Jordan McLaughlin,0,0,0,failed,
Victor Wembanyama,0,0,0,failed,
Dylan Harper,0,0,0,failed,
Keldon Johnson,0,0,0,failed,
De'Aaron Fox,0,0,0,failed,
Stephon Castle,0,0,0,failed,
Luke Kornet,0,0,0,failed,
Kelly Olynyk,0,0,0,failed,
Jeremy Sochan,0,0,0,failed,
Carter Bryant,0,0,0,failed,
Bismack Biyombo,0,0,0,failed,
Devin Vassell,0,0,0,failed,
David Jones Garcia,0,0,0,failed,
Riley Minix,0,0,0,failed,
Julian Champagnie,0,0,0,failed,
Harrison Barnes,0,0,0,failed,
Lindy Waters III,0,0,0,failed,
Harrison Ingram,0,0,0,failed,
Shai Gilgeous-Alexander,0,0,0,failed,
Chris Youngblood,0,0,0,failed,
Luguentz Dort,0,0,0,failed,
Jaylin Williams,0,0,0,failed,
Chet Holmgren,0,0,0,failed,
Jalen Williams,0,0,0,failed,
Alex Caruso,0,0,0,failed,
Isaiah Joe,0,0,0,failed,
Thomas Sorber,0,0,0,failed,
Ousmane Dieng,0,0,0,failed,
Branden Carlson,0,0,0,failed,
Aaron Wiggins,0,0,0,failed,
Cason Wallace,0,0,0,failed,
Brooks Barnhizer,0,0,0,failed,
Ajay Mitchell,0,0,0,failed,
Kenrich Williams,0,0,0,failed,
Nikola Topić,0,0,0,failed,
Isaiah Hartenstein,0,0,0,failed,
A.J. Lawson,0,0,0,failed,
Gradey Dick,0,0,0,failed,
Jonathan Mogbo,0,0,0,failed,
Brandon Ingram,0,0,0,failed,
Scottie Barnes,0,0,0,failed,
Immanuel Quickley,0,0,0,failed,
RJ Barrett,0,0,0,failed,
Collin Murray-Boyles,0,0,0,failed,
Ja'Kobe Walter,0,0,0,failed,
Garrett Temple,0,0,0,failed,
Jakob Poeltl,0,0,0,failed,
Jamal Shead,0,0,0,failed,
Chucky Hepburn,0,0,0,failed,
Ochai Agbaji,0,0,0,failed,
Sandro Mamukelashvili,0,0,0,failed,
Alijah Martin,0,0,0,failed,
Jamison Battle,0,0,0,failed,
Taylor Hendricks,0,0,0,failed,
Kyle Anderson,0,0,0,failed,
Keyonte George,0,0,0,failed,
Cody Williams,0,0,0,failed,
Isaiah Collier,0,0,0,failed,
Svi Mykhailiuk,0,0,0,failed,
Walter Clayton Jr.,0,0,0,failed,
Elijah Harkless,0,0,0,failed,
John Tonje,0,0,0,failed,
Ace Bailey,0,0,0,failed,
Kyle Filipowski,0,0,0,failed,
Lauri Markkanen,0,0,0,failed,
Walker Kessler,0,0,0,failed,
Brice Sensabaugh,0,0,0,failed,
Jusuf Nurkić,0,0,0,failed,
Georges Niang,0,0,0,failed,
Oscar Tshiebwe,0,0,0,failed,
Kevin Love,0,0,0,failed,
Jahmai Mashack,0,0,0,failed,
Jaylen Wells,0,0,0,failed,
Scotty Pippen Jr.,0,0,0,failed,
Ty Jerome,0,0,0,failed,
Kentavious Caldwell-Pope,0,0,0,failed,
Vince Williams Jr.,0,0,0,failed,
Santi Aldama,0,0,0,failed,
Jaren Jackson Jr.,0,0,0,failed,
Javon Small,0,0,0,failed,
Ja Morant,0,0,0,failed,
