player,status,best_weights,val_rmse
Duncan Robinson,ok,"[1.0, 0.0, 0.0]",6.64964660715139
Drew Eubanks,ok,"[0.0, 0.25, 0.75]",3.8924991990891997
Draymond Green,ok,"[0.5, 0.5, 0.0]",4.430537764575664
Dorian Finney-Smith,ok,"[0.0, 1.0, 0.0]",4.808852850041991
Donte DiVincenzo,ok,"[0.0, 0.0, 1.0]",3.842866881478308
Donovan Mitchell,ok,"[0.0, 0.25, 0.75]",3.1693237941350665
Donovan Clingan,ok,"[1.0, 0.0, 0.0]",6.122870475287131
Domantas Sabonis,ok,"[0.0, 0.0, 1.0]",7.977422112158375
Dillon Brooks,ok,"[0.0, 0.0, 1.0]",4.9728609018710515
Devin Vassell,ok,"[0.75, 0.0, 0.25]",7.751052121875247
Devin Booker,ok,"[1.0, 0.0, 0.0]",8.29290660745676
Rui Hachimura,ok,"[0.75, 0.25, 0.0]",7.072244705864149
Rudy Gobert,ok,"[1.0, 0.0, 0.0]",6.6799529510746884
Royce O'Neale,ok,"[0.0, 1.0, 0.0]",4.7504517058941635
Ronald Holland II,ok,"[0.0, 0.0, 1.0]",8.186906259223727
Reed Sheppard,ok,"[0.0, 0.0, 1.0]",8.578336589672869
Rayan Rupert,ok,"[0.75, 0.0, 0.25]",1.389476593054146
RJ Barrett,ok,"[0.0, 0.5, 0.5]",1.1046086945160807
Quentin Grimes,ok,"[0.5, 0.5, 0.0]",18.439238323367814
Precious Achiuwa,ok,"[0.0, 1.0, 0.0]",3.098788391179971
Peyton Watson,ok,"[0.0, 1.0, 0.0]",6.406828217826242
Gabe Vincent,ok,"[0.0, 0.0, 1.0]",1.8524810246143837
Fred VanVleet,ok,"[0.5, 0.5, 0.0]",12.327643360951587
Franz Wagner,ok,"[0.0, 1.0, 0.0]",6.642384606748489
Evan Mobley,ok,"[0.0, 0.0, 1.0]",6.772118823324538
Dyson Daniels,ok,"[0.5, 0.5, 0.0]",6.16024011237867
Dwight Powell,ok,"[1.0, 0.0, 0.0]",4.444468472157272
Pelle Larsson,ok,"[0.5, 0.0, 0.5]",4.089018716053977
Payton Pritchard,ok,"[0.0, 0.0, 1.0]",6.316312330159271
Patrick Williams,ok,"[0.0, 1.0, 0.0]",4.200369148558534
Pascal Siakam,ok,"[0.0, 0.75, 0.25]",6.738599201223858
P.J. Washington,ok,"[0.0, 0.75, 0.25]",9.850945399764525
Oso Ighodaro,ok,"[0.0, 0.0, 1.0]",3.217411600122492
Onyeka Okongwu,ok,"[0.0, 0.0, 1.0]",4.671300345789343
Hunter Tyson,ok,"[0.0, 0.0, 1.0]",3.564903731623062
Haywood Highsmith,ok,"[0.75, 0.0, 0.25]",4.632680098228441
Harrison Barnes,ok,"[0.25, 0.5, 0.25]",1.4892893480241423
Gui Santos,ok,"[0.25, 0.5, 0.25]",4.779938085341701
Guerschon Yabusele,ok,"[1.0, 0.0, 0.0]",6.717877003084489
Grayson Allen,ok,"[0.0, 0.0, 1.0]",8.512025675967841
Gradey Dick,ok,"[0.0, 0.5, 0.5]",5.003389611202329
Goga Bitadze,ok,"[0.25, 0.0, 0.75]",5.887249644874055
Giannis Antetokounmpo,ok,"[0.0, 0.0, 1.0]",6.068518274019872
Georges Niang,ok,"[0.75, 0.0, 0.25]",8.35032235978059
Gary Trent Jr.,ok,"[0.0, 0.0, 1.0]",6.148966009185062
Gary Payton II,ok,"[1.0, 0.0, 0.0]",10.326208680550947
Jabari Walker,ok,"[0.25, 0.0, 0.75]",7.34110162674265
Jabari Smith Jr.,ok,"[0.0, 0.0, 1.0]",8.068389830447428
Ja'Kobe Walter,ok,"[0.25, 0.0, 0.75]",5.234521588729325
Ja Morant,ok,"[0.0, 0.0, 1.0]",12.680151493039999
Ivica Zubac,ok,"[1.0, 0.0, 0.0]",4.154114999439884
Isaiah Stewart,ok,"[0.0, 0.0, 1.0]",1.984234533511907
Isaiah Joe,ok,"[0.0, 0.5, 0.5]",8.199582676029118
Isaiah Hartenstein,ok,"[0.0, 1.0, 0.0]",5.47139253816851
Isaiah Collier,ok,"[0.0, 1.0, 0.0]",2.8907489157287247
Isaac Okoro,ok,"[0.0, 1.0, 0.0]",2.483284487458172
Olivier-Maxence Prosper,ok,"[0.75, 0.0, 0.25]",5.643443748917051
Ochai Agbaji,ok,"[1.0, 0.0, 0.0]",5.025600177377538
Obi Toppin,ok,"[0.25, 0.75, 0.0]",5.451987276049431
