player,game_date,target,last_3_avg,last_5_avg,last_10_avg,last_3_std,days_rest,is_home,opp_def,multi_PER,multi_WS,multi_TS_PCT,multi_season_PTS_avg,injury_sentiment,morale_score,motivation
Jayson Tatum,2022-10-21,29.0,35.0,35.0,35.0,0.0,2.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-10-22,40.0,32.0,32.0,32.0,0.0,0.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-10-24,26.0,34.666666666666664,34.666666666666664,34.666666666666664,4.4969125210773475,1.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-10-28,32.0,31.666666666666668,32.5,32.5,6.018490028422596,3.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-10-30,23.0,32.666666666666664,32.4,32.4,5.734883511361751,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-11-02,26.0,27.0,30.0,30.833333333333332,3.7416573867739413,2.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-11-04,36.0,27.0,29.4,30.142857142857142,3.7416573867739413,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-11-05,26.0,28.333333333333332,28.6,30.875,5.557777333511022,0.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-11-07,39.0,29.333333333333332,28.6,30.333333333333332,4.714045207910317,1.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-11-09,31.0,33.666666666666664,30.0,31.2,5.557777333511022,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-11-11,34.0,32.0,31.6,30.8,5.354126134736337,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-11-12,43.0,34.666666666666664,33.2,31.3,3.2998316455372216,0.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-11-14,27.0,36.0,34.6,31.6,5.0990195135927845,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-11-16,19.0,34.666666666666664,34.8,31.7,6.548960901462833,1.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-11-18,19.0,29.666666666666668,30.8,30.4,9.977753031397176,1.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-11-21,28.0,21.666666666666668,28.4,30.0,3.7712361663282534,2.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-11-23,37.0,22.0,27.2,30.2,4.242640687119285,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-11-25,30.0,28.0,26.0,30.3,7.3484692283495345,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-11-28,35.0,31.666666666666668,26.6,30.7,3.858612300930075,2.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-11-30,49.0,34.0,29.8,30.3,2.943920288775949,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-12-02,14.0,38.0,35.8,32.1,8.04155872120988,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-12-04,29.0,32.666666666666664,33.0,30.1,14.383632673594278,1.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-12-05,31.0,30.666666666666668,31.4,28.7,14.337208778404378,0.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-12-07,25.0,24.666666666666668,31.6,29.1,7.586537784494028,1.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-12-10,18.0,28.333333333333332,29.6,29.7,2.494438257849294,2.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-12-12,20.0,24.666666666666668,23.4,29.6,5.312459150169742,1.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-12-13,44.0,21.0,24.6,28.8,2.943920288775949,0.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-12-16,31.0,27.333333333333332,27.6,29.5,11.8133634311129,2.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-12-21,41.0,31.666666666666668,27.6,29.6,9.809292646374773,4.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-12-23,30.0,38.666666666666664,30.8,30.2,5.557777333511022,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-12-25,41.0,34.0,33.2,28.3,4.96655480858378,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-12-27,38.0,37.333333333333336,37.4,31.0,5.185449728701348,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2022-12-29,29.0,36.333333333333336,36.2,31.9,4.642796092394707,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-01-01,25.0,36.0,35.8,31.7,5.0990195135927845,2.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-01-03,27.0,30.666666666666668,32.6,31.7,5.436502143433364,1.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-01-05,29.0,27.0,32.0,32.6,1.632993161855452,1.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-01-07,34.0,27.0,29.6,33.5,1.632993161855452,1.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-01-09,32.0,30.0,28.8,32.5,2.943920288775949,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-01-11,31.0,31.666666666666668,29.4,32.6,2.0548046676563256,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-01-12,20.0,32.333333333333336,30.6,31.6,1.247219128924647,0.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-01-14,33.0,27.666666666666668,29.2,30.6,5.436502143433364,1.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-01-16,51.0,28.0,30.0,29.8,5.715476066494082,1.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-01-19,34.0,34.666666666666664,33.4,31.1,12.710450643291745,2.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-01-23,26.0,39.333333333333336,33.8,31.6,8.259674462242579,3.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-01-24,31.0,37.0,32.8,31.7,10.424330514074592,0.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-01-26,35.0,30.333333333333332,35.0,32.1,3.2998316455372216,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-01-28,30.0,30.666666666666668,35.4,32.7,3.681787005729087,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-02-01,31.0,32.0,31.2,32.3,2.160246899469287,3.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-02-03,20.0,32.0,30.6,32.2,2.160246899469287,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-02-06,34.0,27.0,29.4,31.1,4.96655480858378,2.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-02-08,12.0,28.333333333333332,30.0,32.5,6.018490028422596,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-02-10,41.0,22.0,25.4,30.4,9.092121131323903,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-02-12,16.0,29.0,27.6,29.4,12.355835328567093,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-02-15,38.0,23.0,24.6,27.6,12.832251036613439,2.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-02-23,31.0,31.666666666666668,28.2,28.8,11.145502331533658,7.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-02-25,18.0,28.333333333333332,27.6,28.8,9.177266598624136,1.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-02-27,14.0,29.0,28.8,27.1,8.286535263104035,1.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-03-01,41.0,21.0,23.4,25.5,7.2571803523590805,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-03-03,22.0,24.333333333333332,28.4,26.5,11.897712198383164,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-03-05,40.0,25.666666666666668,25.2,26.7,11.32352516764202,1.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-03-08,30.0,34.333333333333336,27.0,27.3,8.73053390247253,2.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-03-11,34.0,30.666666666666668,29.4,29.1,7.363574011458174,2.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-03-13,22.0,34.666666666666664,33.4,28.4,4.109609335312651,1.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-03-15,22.0,28.666666666666668,29.6,29.0,4.988876515698588,1.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-03-17,34.0,26.0,29.6,27.4,5.656854249492381,1.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-03-18,15.0,26.0,28.4,27.7,5.656854249492381,0.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-03-21,36.0,23.666666666666668,25.4,27.4,7.84573486395988,2.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-03-24,34.0,28.333333333333332,25.8,29.6,9.46337971105226,2.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-03-28,28.0,28.333333333333332,28.2,28.9,9.46337971105226,3.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-03-30,40.0,32.666666666666664,29.4,29.5,3.39934634239519,1.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-03-31,39.0,34.0,30.6,29.5,4.898979485566356,0.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-04-04,19.0,35.666666666666664,35.4,30.4,5.436502143433364,3.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-04-07,21.0,32.666666666666664,32.0,28.9,9.672412085697939,2.0,1,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
Jayson Tatum,2023-10-25,34.0,26.333333333333332,29.4,28.8,8.993825042154695,200.0,0,100.0,24.375927500237278,14.206624278860389,0.5978407636583913,2048.0,-0.94,0.25,0.15
