player,season,PER_est,PER_can,PER_est_scaled,PER_diff,WS_est,WS_can,WS_est_scaled,WS_diff
Stephen Curry,2024-25,58.750000000000014,26.0,20.135339917465952,-5.864660082534048,31.710900000000006,11.0,9.886374644045631,-1.113625355954369
Stephen Curry,2023-24,58.00675675675676,27.0,19.880608762673397,-7.119391237326603,33.69032432432432,12.0,10.503491485567224,-1.4965085144327759
Stephen Curry,2022-23,73.03571428571426,28.0,25.031471204387753,-2.9685287956122473,34.02295714285713,11.5,10.607195027974415,-0.8928049720255853
Nikola Jokic,2024-25,105.46428571428575,31.0,36.14568922570029,5.145689225700288,65.17692857142858,20.0,20.319938380977664,0.31993838097766414
Nikola Jokic,2023-24,96.17088607594935,30.0,32.96056989452142,2.96056989452142,63.1727316455696,19.0,19.695098289101168,0.6950982891011677
Nikola Jokic,2022-23,95.0,30.0,32.559273058030044,2.559273058030044,52.941599999999994,19.0,16.50538117351466,-2.4946188264853397
Kevin Durant,2024-25,65.76612903225808,22.0,22.539972138220296,0.5399721382202962,35.797819354838715,8.0,11.160536395428807,3.1605363954288066
Kevin Durant,2023-24,69.16666666666667,23.0,23.705435647513106,0.7054356475131058,46.314,9.0,14.439122045237735,5.439122045237735
Kevin Durant,2022-23,77.28723404255318,24.0,26.48859112727752,2.4885911272775196,31.03237021276595,9.5,9.67483225061812,0.17483225061812036
Luka Doncic,2024-25,74.05000000000001,29.0,25.379096525759213,-3.6209034742407873,31.385352000000005,18.0,9.784879905876112,-8.215120094123888
Luka Doncic,2023-24,92.14285714285711,31.0,31.580046800645672,0.5800468006456718,58.02788571428569,22.0,18.091111194361925,-3.9088888056380746
Luka Doncic,2022-23,83.86363636363639,30.0,28.74251616845237,-1.2574838315476313,48.084054545454556,17.0,14.990964546609806,-2.0090354533901937
Devin Booker,2024-25,60.09999999999999,21.0,20.598024324080054,-0.401975675919946,40.31507999999999,7.0,12.568863850747563,5.568863850747563
Devin Booker,2023-24,66.8014705882353,22.0,22.894813911161222,0.8948139111612221,39.19910294117648,8.0,12.220940351329718,4.220940351329718
Devin Booker,2022-23,63.01886792452833,23.0,21.59840556381736,-1.4015944361826413,27.753509433962275,8.5,8.652595541318783,0.1525955413187834
