player,status,n_rows,rmse_advanced,rmse_baseline,delta_rmse
LeBron James,no_data,,,,
Stephen Curry,ok,13.0,21.507082149500754,21.798505461087643,0.2914233115868896
Luka Doncic,ok,10.0,10.38174079620155,10.506782699447076,0.1250419032455259
Kevin Durant,ok,13.0,7.310838181851871,7.269919514360258,-0.04091866749161266
Jayson Tatum,no_data,,,,
Nikola Jokic,ok,14.0,16.496347666709944,18.800680811756102,2.304333145046158
Devin Booker,ok,15.0,3.939098433917438,3.893891318356831,-0.04520711556060686
Trae Young,ok,4.0,14.269223855968495,15.395831889189928,1.1266080332214337
Jalen Brunson,ok,12.0,4.273402674415575,4.062094220159101,-0.21130845425647404
Ja Morant,ok,11.0,8.419229957701955,7.721874627528567,-0.6973553301733881
