player,train_rows,val_rows,test_rows,status,model_path
Zion Williamson,20,4,5,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Zion_Williamson.pkl
Herbert Jones,13,3,3,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Herbert_Jones.pkl
Jordan Poole,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jordan_Poole.pkl
Hunter Dickinson,0,0,0,skipped,
Dejounte Murray,21,4,5,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Dejounte_Murray.pkl
DeAndre Jordan,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\DeAndre_Jordan.pkl
Bryce McGowens,8,2,2,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Bryce_McGowens.pkl
Micah Peavy,0,0,0,skipped,
Jose Alvarado,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jose_Alvarado.pkl
Karlo Matković,29,6,6,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Karlo_Matković.pkl
Yves Missi,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Yves_Missi.pkl
Derik Queen,0,0,0,skipped,
Trey Alexander,16,3,4,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Trey_Alexander.pkl
Jordan Hawkins,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jordan_Hawkins.pkl
Trey Murphy III,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Trey_Murphy_III.pkl
Saddiq Bey,0,0,0,skipped,
Kevon Looney,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Kevon_Looney.pkl
Coby White,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Coby_White.pkl
Trentyn Flowers,4,1,0,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Trentyn_Flowers.pkl
Emanuel Miller,4,1,0,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Emanuel_Miller.pkl
Josh Giddey,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Josh_Giddey.pkl
Jevon Carter,24,5,6,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jevon_Carter.pkl
Dalen Terry,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Dalen_Terry.pkl
Nikola Vučević,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Nikola_Vučević.pkl
Ayo Dosunmu,31,7,7,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Ayo_Dosunmu.pkl
