player,status,n_rows,rmse_advanced,rmse_baseline,delta_rmse
LeBron James,no_data,,,,
Stephen Curry,ok,13.0,21.662036224276562,21.798505461087643,0.13646923681108092
Luka Doncic,ok,10.0,10.71090014309072,10.506782699447076,-0.2041174436436446
Kevin Durant,ok,13.0,7.629272908857844,7.269919514360258,-0.3593533944975862
Jayson Tatum,no_data,,,,
Nikola Jokic,ok,14.0,16.277852476825682,18.800680811756102,2.52282833493042
Devin Booker,ok,15.0,3.8558318246996306,3.893891318356831,0.038059493657200516
Trae Young,ok,4.0,14.465675584820385,15.395831889189928,0.9301563043695431
Jalen Brunson,ok,12.0,4.119230184615557,4.062094220159101,-0.057135964456455746
Ja Morant,ok,11.0,5.983089870225037,7.721874627528567,1.73878475730353
