variant,run_dir,initial_bankroll,final_bankroll,roi,win_rate,total_bets,sharpe,max_drawdown,cagr
baseline,backend\evaluation\backtest_reports\analysis\backtest_20251116T003633Z,1000.0,545.4843193824373,-0.4545156806175627,0.0,30.0,-31.419018428324296,0.4433833475689415,-1.0
calibrated,backend\evaluation\backtest_reports\analysis\backtest_20251116T003634Z,1000.0,545.4843193824373,-0.4545156806175627,0.0,30.0,-31.419018428324296,0.4433833475689415,-1.0
