_bin,mean_pred,mean_obs,count
"(-0.001, 0.1]",,,0
"(0.1, 0.2]",,,0
"(0.2, 0.3]",0.2221115371627067,0.0,40
"(0.3, 0.4]",0.3623654530557707,0.0,20
"(0.4, 0.5]",0.4584493180660226,0.0,20
"(0.5, 0.6]",,,0
"(0.6, 0.7]",0.6561879784373076,0.0,10
"(0.7, 0.8]",0.7862751044161707,0.0,10
"(0.8, 0.9]",,,0
"(0.9, 1.0]",,,0
